Things probed: 

Dummy Clamp Prob Points on Beam
Dummy Clamp Prob Points on Storage
Dummy Clamp Storage Pad
Dummy Clamp Beam Holes and srfs


Time	Tip Location
12:39:16	17874.678;6372.130;1444.644
12:39:16	17874.678;6372.130;1444.644
12:39:18	17874.031;6371.791;1529.348
12:39:29	17922.797;6372.285;1577.679
12:39:35	17869.975;6371.792;1580.908
12:39:45	17871.846;6371.912;1615.078
12:39:45	17871.846;6371.912;1615.078
12:39:46	17871.846;6371.912;1615.078
12:39:46	17871.820;6371.910;1615.013
12:39:46	17871.754;6371.859;1613.408
12:39:46	17871.754;6371.859;1613.408
12:39:46	17871.739;6371.852;1613.353
12:39:46	17871.739;6371.852;1613.353
12:39:47	17871.730;6371.854;1613.313
12:39:47	17871.730;6371.854;1613.313
12:39:47	17871.728;6371.853;1613.287
12:39:53	17847.787;6336.593;1612.840
12:39:53	17847.787;6336.593;1612.840
12:39:53	17847.787;6336.593;1612.840
12:39:54	17847.808;6336.601;1612.802
12:39:55	17847.820;6275.467;1610.147
12:39:56	17847.760;6275.561;1610.084
12:39:57	17847.760;6275.561;1610.084
12:39:57	17847.743;6275.617;1610.044
12:39:57	17847.743;6275.617;1610.044
12:40:00	17847.493;6279.486;1477.828
12:40:01	17847.481;6279.386;1477.722
12:40:04	17847.685;6351.107;1474.262
12:40:04	17847.685;6351.107;1474.262
12:40:07	17847.042;6355.257;1383.951
12:40:20	17847.729;6276.565;1367.251
12:40:20	17847.729;6276.565;1367.251
12:40:20	17847.729;6276.565;1367.251
12:40:20	17847.727;6276.584;1367.276
12:40:20	17847.727;6276.584;1367.276
12:40:21	17847.727;6276.584;1367.276
12:40:28	17939.439;6259.769;1600.143
12:40:28	17939.439;6259.769;1600.143
12:40:28	17939.439;6259.769;1600.143
12:40:31	17908.572;6259.478;1599.873
12:40:34	17870.681;6259.545;1596.941
12:40:39	17867.550;6259.226;1519.937
12:40:39	17867.561;6259.224;1519.922
12:40:45	17903.480;6259.476;1523.670
12:40:45	17903.493;6259.479;1523.654
12:40:48	17946.239;6259.720;1528.450
12:40:48	17946.239;6259.720;1528.450
12:40:52	17946.744;6259.864;1454.986
12:40:57	17898.397;6259.504;1451.957
12:40:57	17898.397;6259.504;1451.957
12:40:58	17898.384;6259.505;1451.941
12:40:58	17898.373;6259.505;1451.919
12:40:58	17898.373;6259.505;1451.919
12:41:03	17861.131;6259.312;1448.170
12:41:03	17861.131;6259.312;1448.170
12:41:10	17959.583;6277.779;1528.772
12:41:11	17959.583;6277.779;1528.772
12:41:11	17959.563;6277.762;1528.811
12:41:19	17958.748;6358.395;1515.734
12:41:24	17959.421;6311.182;1511.252
12:41:24	17959.421;6311.182;1511.252
12:41:30	17959.399;6320.700;1613.668
12:41:31	17959.399;6320.700;1613.668
12:41:31	17959.413;6320.522;1613.592
12:41:31	17959.413;6320.522;1613.592
12:41:34	17959.793;6277.001;1614.383
12:41:38	17959.024;6355.684;1624.528
12:41:38	17959.024;6355.684;1624.528
12:41:38	17959.043;6355.611;1624.460
12:41:38	17959.043;6355.611;1624.460
12:41:39	17959.062;6355.626;1624.417
12:41:39	17959.062;6355.626;1624.417
12:41:39	17959.062;6355.626;1624.417
12:41:39	17959.068;6355.592;1624.349
12:41:49	17959.311;6315.843;1426.554
12:41:49	17959.311;6315.843;1426.554
12:41:49	17959.302;6315.816;1426.537
12:41:50	17959.302;6315.816;1426.537
12:41:50	17959.302;6315.816;1426.537
12:41:50	17959.302;6315.816;1426.537
12:41:50	17959.298;6315.829;1426.519
12:41:50	17959.298;6315.829;1426.519
12:41:51	17959.298;6315.829;1426.519
12:41:52	17959.666;6272.778;1425.805
12:41:53	17959.641;6272.838;1425.865
12:41:58	17958.916;6356.625;1422.067
12:41:59	17958.916;6356.625;1422.067
12:41:59	17958.916;6356.625;1422.067
12:41:59	17958.923;6356.681;1422.073
12:41:59	17958.923;6356.681;1422.073
12:41:59	17958.923;6356.681;1422.073
12:42:00	17958.923;6356.681;1422.073
12:42:00	17958.923;6356.681;1422.073
12:42:00	17958.927;6356.728;1422.073
12:42:00	17958.927;6356.728;1422.073
12:42:01	17958.927;6356.750;1422.081
12:42:30	17875.959;9216.656;491.623
12:42:30	17875.959;9216.656;491.623
12:42:31	17875.960;9216.667;491.630
12:42:31	17875.960;9216.667;491.630
12:42:31	17875.966;9216.681;491.633
12:42:36	17876.102;9271.546;492.271
12:42:36	17876.102;9271.546;492.271
12:42:36	17876.110;9271.556;492.265
12:42:36	17876.110;9271.556;492.265
12:42:37	17876.119;9271.569;492.258
12:42:37	17876.119;9271.569;492.258
12:42:37	17876.119;9271.569;492.258
12:42:37	17876.119;9271.569;492.258
12:42:38	17876.128;9271.589;492.253
12:42:38	17876.128;9271.589;492.253
12:42:38	17876.128;9271.589;492.253
12:42:38	17876.128;9271.589;492.253
12:42:39	17876.128;9271.589;492.253
12:42:39	17876.135;9271.608;492.251
12:42:39	17876.135;9271.608;492.251
12:42:39	17876.135;9271.608;492.251
12:42:39	17876.135;9271.608;492.251
12:42:40	17876.139;9271.598;492.245
12:42:40	17876.139;9271.598;492.245
12:42:40	17876.144;9271.618;492.243
12:42:52	17775.203;9216.523;491.786
12:42:53	17775.203;9216.523;491.786
12:42:53	17775.203;9216.523;491.786
12:42:53	17775.200;9216.533;491.792
12:42:53	17775.200;9216.533;491.792
12:42:53	17775.200;9216.533;491.792
12:42:54	17775.200;9216.533;491.792
12:42:54	17775.202;9216.539;491.798
12:42:54	17775.204;9216.567;491.807
12:42:58	17775.097;9271.469;492.023
12:42:59	17775.102;9271.461;492.009
12:43:07	17769.426;9242.332;496.530
12:43:10	17769.452;9246.807;527.533
12:43:15	17769.370;9245.489;457.145
12:43:15	17769.370;9245.489;457.145
12:43:15	17769.370;9245.489;457.145
12:43:24	17769.439;9218.820;453.223
12:43:25	17769.439;9218.820;453.223
12:43:25	17769.448;9218.830;453.202
12:43:25	17769.465;9218.784;453.241
12:43:31	17769.410;9268.469;457.547
12:43:31	17769.410;9268.469;457.547
12:43:31	17769.410;9268.469;457.547
12:43:32	17769.406;9268.495;457.558
12:43:54	17769.388;9274.044;536.480
12:43:54	17769.388;9274.044;536.480
12:43:55	17769.383;9274.065;536.490
12:44:04	17769.380;9217.763;534.410
12:44:08	17769.457;9248.551;534.372
12:44:08	17769.471;9248.600;534.382
12:44:09	17769.481;9248.661;534.394
12:44:09	17769.481;9248.661;534.394
12:44:16	17881.409;9216.305;532.446
12:44:16	17881.409;9216.305;532.446
12:44:16	17881.409;9216.305;532.446
12:44:16	17881.415;9216.361;532.479
12:44:18	17881.602;9241.220;533.175
12:44:18	17881.584;9241.268;533.186
12:44:18	17881.584;9241.268;533.186
12:44:19	17881.565;9241.301;533.189
12:44:19	17881.565;9241.301;533.189
12:44:26	17881.227;9265.561;534.403
12:44:31	17881.455;9228.119;495.016
12:44:31	17881.455;9228.119;495.016
12:44:40	17881.186;9246.455;493.132
12:44:40	17881.186;9246.455;493.132
12:44:43	17881.490;9257.773;492.110
12:44:49	17881.525;9219.105;453.865
12:44:50	17881.525;9219.105;453.865
12:44:50	17881.528;9219.097;453.805
12:44:50	17881.533;9219.103;453.750
12:44:50	17881.533;9219.103;453.750
12:44:51	17881.533;9219.103;453.750
12:44:54	17881.555;9244.166;455.784
12:45:01	17881.468;9274.836;452.166
12:45:02	17881.473;9274.808;452.158
12:45:02	17881.473;9274.808;452.158
12:45:02	17881.470;9274.773;452.148
12:45:02	17881.470;9274.773;452.148
